TR35-009153,50,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,34,352746,Medium,34407.34,1037,7/1/2024,ไม่ผ่าน,ผ่าน,ไม่ผ่าน,7.77,18.32171723,98.80802846,DCC_02  บ้านโฮ่งใต้ (กลางทุ่งนา),เทศบาลตำบล,,ใช่,1151XF000002984,ใช่,1000001557,INST,460178212,1050010005,"TR., 50 KVA. 3 P 22-0.40 KV.DY 11",22,THAI TRAFO,หมดประกัน,,,BGA04,พฤษภาคม,6.67,2.12,11.42,0.9,9.96,2.12,13.26,1.44,2.930000067,18.29999924,1.99000001,18.29999924,137.2576177,136.5041617,228.5,228.15,657.74,93,1668,37,,,37
TR35-009544,160,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,34,221233600,Low,4824.34,634,18/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,24.54,18.36460181,98.76270513,DCC_หน้าวัดบ้านดอยแดน หมู่ 4 บ้านโฮ่ง,ชนบท,,ใช่,1151XF000002934,ใช่,1000001729,INST,460178219,1050010007,"TR., 160 KVA. 3 P 22-0.40 KV.DY 11",22,THAIMAXWELL,,,,BGA04,พฤษภาคม,17.51,58.13,19.95,43.27,32.89,88.66,27.24,54.26,38.22999954,11.75,23.39999962,38.22999954,50.67985167,56.31170663,222.03,216.54,632.71,809,13161,134,,,134
TR35-009933,160,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,34,353102787,Low,4921.34,1090,3/2/2024,ผ่าน,ผ่าน,ไม่ผ่าน,21.39,18.39027859,98.76472881,DCC_xx สวนบ้านหนองสลิง,เทศบาลตำบล,,ใช่,1151XF000002737,ใช่,1000001771,INST,460178225,1050010007,"TR., 160 KVA. 3 P 22-0.40 KV.DY 11",22,EKARAT,,,,CEA05,พฤษภาคม,16.95,45.33,41.54,30.64,13.15,57.57,60.03,30.65,24.82999992,25.88999939,13.22000027,25.88999939,21.77687005,37.97639123,225.26,222.8,837.17,589,15211,90,,,90
TR35-010089,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,34,84664,High (H1),48006.34,520,10/1/2024,ไม่ผ่าน,ไม่ผ่าน,ไม่ผ่าน,6.85,18.29962274,98.84046988,DCC_02 บ้านห้วยน้ำดิบ ซอย 4,ชนบท,,ใช่,1151XF000002796,ใช่,1000490391,INST,460178231,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,CHAROENCHAI,,,,BGA02,พฤษภาคม,5.18,7.8,5.33,9.29,3.47,10.29,7.6,11.78,7.099999905,5.239999771,8.130000114,8.130000114,28.67975022,23.15470172,229.5,228.94,751.82,150,2863,20,,,20
TR35-010097,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,34,84672,High (H1),51217.34,573,29/1/2024,ไม่ผ่าน,ไม่ผ่าน,ไม่ผ่าน,17.96,18.32998203,98.71485028,DCC_xx บ้านสันเจดีย์ริมปิง (หน้าฟาร์มหมู),ชนบท,,ใช่,1151XF000002515,ใช่,1000024673,INST,460677860,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,CHAROENCHAI,หมดประกัน,,,BGA01,พฤษภาคม,14.02,23.59,20.87,16.24,6.45,29.86,27.33,20.59,20.60000038,18.86000061,14.21000004,20.60000038,19.73640857,20.58369761,227.48,226.71,1066.93,197,7441,73,,,73
TR35-010098,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,34,84673,Medium,33625.34,1081,6/2/2024,ไม่ผ่าน,ผ่าน,ไม่ผ่าน,25.55,18.41972799,98.79710628,DCC_xx บ้านหนองยวง (โค้งบ่อนไก่),เทศบาลตำบล,แขวนบนเสา,ใช่,1151XF000002304,ใช่,1000001751,INST,460178233,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,CHAROENCHAI,หมดประกัน,,,CEA04,พฤษภาคม,19.16,35.99,26.27,20.72,13.31,46.67,33.98,30.05,32.20000076,23.45000076,20.72999954,32.20000076,30.11569053,26.47696477,226.99,226.2,745.09,283,9851,81,,,81
TR35-010211,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,34,84786,Low,4849.34,615,5/5/2025,ผ่าน,ผ่าน,ไม่ผ่าน,49.75,18.348295,98.8049875,DCC_xx ปากทางม่วงโตนซ้ายมือ,ชนบท,,ใช่,1151XF000002768,ใช่,1000001539,INST,460178234,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,CHAROENCHAI,,,,BGA04,พฤษภาคม,32.86,56.43,52.35,33.58,20.68,84.5,82.53,48.58,58.29999924,56.95000076,33.52000046,58.29999924,29.23574038,32.40573257,223.94,217.95,750.84,898,17056,115,,,115
TR35-010229,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,34,84804,Low,7249.34,601,11/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,49.73,18.32966686,98.7757434,DCC-xx บ้านน้ำเพอะพะใน,ชนบท,,ใช่,1151XF000002481,ใช่,1000001369,INST,460178237,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,CHAROENCHAI,,,,BGA04,พฤษภาคม,31.02,33.42,76.36,24.59,47.81,59.28,118.03,38.2,40.90000153,81.44000244,26.36000061,81.44000244,70.48448314,64.30328059,219.49,211.6,835.03,863,13481,101,,1,101
TR35-010244,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,34,84819,Low,7318.34,1060,12/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,18.64,18.33472729,98.81785035,DCC_xx บ้านสันตับเต่า(เทศบาล),เทศบาลตำบล,,ใช่,1151XF000002941,ใช่,1001155418,INST,460178239,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,CHAROENCHAI,,,,BGA02,พฤษภาคม,15.13,21.35,25.81,18.38,6.42,24.65,32.4,23.68,17.01000023,22.36000061,16.34000015,22.36000061,18.14159292,20.40133779,226.87,225.38,529.17,214,7841,60,,,60
TR35-012428,30,1,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,34,N93602188,Low,4811.34,1022,8/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,11.77,18.30165955,98.82358381,DCC-xx บ้านห้วยกาน(บ้านหลิม),เทศบาลตำบล,แขวนบนเสา,ใช่,1151XF000002882,ใช่,1000001417,INST,460178253,1050000002,"TR., 30 KVA. 1 P 3 W,22-0.46-0.23 KV.",22,HICO,,,,BGA02,พฤษภาคม,11.16,12.51,2.04,0,10.47,13.22,2.13,0,30.40999985,4.900000095,0,30.40999985,71.95876289,72.247557,228.8,228.64,202.3,97,1662,22,,,22
