TR40-000708,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,29,400425,Low,9735.29,614,25/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,35.5,18.3336931,98.68934856,DCC_xx บ้านหนองสูนนอกริมปิง,ชนบท,,ใช่,1151XF000002511,ใช่,1000001507,INST,460178794,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,PEM,หมดประกัน,,,BGA01,พฤษภาคม,29.81,51.82,38.49,38.83,13.15,57.53,43.79,52.47,39.70000076,30.21999931,36.20000076,39.70000076,20.38098188,14.57832109,225.31,223.27,1088.5,450,14514,114,,,114
TR40-000711,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,29,400428,Medium,26407.29,542,27/1/2024,ผ่าน,ไม่ผ่าน,ไม่ผ่าน,7.25,18.3622231,98.68816334,DCC_xx บ้านท่ากอม่วงสามแยก40-000711,ชนบท,,ใช่,1151XF000002912,ใช่,1000001465,INST,460178795,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,PEM,หมดประกัน,,,BGA01,พฤษภาคม,6.84,15.92,6.86,6.83,9.07,19.14,8.36,3.91,13.21000004,5.769999981,2.700000048,13.21000004,61.29685917,82.80802292,228.74,228.1,497.23,151,3572,42,,,42
TR40-001419,160,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,29,401657,Low,4808.29,1113,31/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,8.14,18.41958282,98.72930486,DCC_02-บ้านวังหมุ้น,เทศบาลตำบล,แขวนบนเสา,ใช่,1151XF000001891,ใช่,1000821681,INST,460178803,1050010007,"TR., 160 KVA. 3 P 22-0.40 KV.DY 11",22,PEM,,,,CEA04,พฤษภาคม,4.85,11.32,13.56,8.76,4.11,20.68,20.18,15.58,8.920000076,8.699999809,6.71999979,8.920000076,21.87871581,17.18639263,224.27,223.71,1138.44,238,4213,113,,,113
TR40-003752,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,29,970112,Low,4851.29,1119,2/5/2025,ผ่าน,ผ่าน,ไม่ผ่าน,51.13,18.32779276,98.81461477,DCC_xx บ้านห้วยห้าหน้าวัด,เทศบาลตำบล,,ใช่,1151XF000002995,ใช่,1000001569,INST,460178808,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,THAI TRAFO,หมดประกัน,,,BGA01,พฤษภาคม,40.91,51.47,83.65,42.17,36.98,68.49,95.59,57.51,47.25999832,65.95999908,39.68000031,65.95999908,41.54774663,29.41468478,214.4,213.66,603.28,729,18860,119,,1,119
TR40-003888,160,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,29,970248,Medium,19233.29,630,20/1/2024,ผ่าน,ไม่ผ่าน,ไม่ผ่าน,33.01,18.3609905,98.75866456,DCC_xx บ้านทุ่งปู่เเดง,ชนบท,,ใช่,1151XF000002932,ใช่,1000001577,INST,460178813,1050010007,"TR., 160 KVA. 3 P 22-0.40 KV.DY 11",22,THAI TRAFO,,,,BGA04,พฤษภาคม,22.73,63.96,36.02,57.61,24.87,95.53,50.96,82.42,41.20000076,21.97999954,35.54000092,41.20000076,31.42965924,33.21392687,213.56,202.07,927.66,1301,18285,130,,,130
TR40-017455,30,1,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,29,4013006,Medium,33714.29,1029,29/1/2024,ไม่ผ่าน,ผ่าน,ไม่ผ่าน,14.23,18.41446952,98.75557979,DCC_02-สวนบ้านเหล่าปงเสือ (ซอยหลัง ซีดี.),เทศบาลตำบล,นั้งร้าน,ใช่,1151XF000002328,ใช่,1000001691,INST,460178818,1050000002,"TR., 30 KVA. 1 P 3 W,22-0.46-0.23 KV.",22,TIRA THAI,หมดประกัน,,,CEA04,พฤษภาคม,4.75,2.55,3.64,0,1.09,6.1,12.45,0,14.02999973,28.63999939,0,28.63999939,17.60904685,34.23180593,229.44,228.17,545.4,98,749,29,,,29
TR40-019280,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,29,406275,Low,4841.29,1122,8/5/2025,ผ่าน,ผ่าน,ไม่ผ่าน,41.69,18.40421539,98.73848156,DCC_xx บ้านหนองล่อง หมู่ 1 ต.หนองล่อง,เทศบาลตำบล,นั้งร้าน,ใช่,1151XF000001901,ใช่,1000001821,INST,460178820,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,THAI TRAFO,หมดประกัน,,,CEA07,มิถุนายน,36.46,70.15,47.87,39.96,26.94,88.86,48.66,43.11,61.31000137,33.58000183,29.75,61.31000137,33.21306494,47.5834579,222.34,220.14,432.1,678,18500,122,3,,122
TR40-020451,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,29,971317,Medium,19311.29,1043,20/1/2024,ผ่าน,ไม่ผ่าน,ไม่ผ่าน,11,18.37851264,98.7648652,DCC_02-หล่ายเเก้ว หนองสลิง,เทศบาลตำบล,,ใช่,1151XF000002754,ใช่,1000001311,INST,460178832,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,CHAROENCHAI,หมดประกัน,,,BGA04,พฤษภาคม,4.41,7.4,6.94,4.78,2.42,19.54,18.7,9.38,13.47999954,12.89999962,6.46999979,13.47999954,25,40.90718186,229.29,227.4,582.33,181,2206,43,,,43
TR41-001011,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,28,3362,Low,4843.28,548,3/5/2025,ผ่าน,ผ่าน,ไม่ผ่าน,43.27,18.27479244,98.83900345,DCC_xx ห้วยแทง(ซอยข้างวัด),ชนบท,,ใช่,1151XF000002803,ใช่,1001204958,INST,460178841,1050010201,"TR.,SEAL,100 KVA,3P,22-0.4/0.23 KV.DYN11",22,ABB,,,,BGA02,เมษายน,28.81,41.14,40.71,42.94,2.04,64.38,60.41,62.7,44.41999817,41.68000031,43.25999832,44.41999817,3.229425435,3.338844738,223.03,215.95,970.59,1359,19199,48,,,48
TR41-001718,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,28,4111287,Low,4838.28,1095,3/2/2024,ผ่าน,ผ่าน,ไม่ผ่าน,38.75,18.39343533,98.69552839,DCC_xx บ้านท่าหลุก,เทศบาลตำบล,นั้งร้าน,ใช่,1151XF000002383,ใช่,1000001451,INST,460178846,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,TIRA THAI,,,,CEA07,พฤษภาคม,34.82,51.56,49.71,49.59,1.24,59.66,51.55,56.66,41.16999817,35.56999969,39.09999847,41.16999817,2.532149012,7.875141479,217.37,215.95,864.14,975,18804,95,,,95
