PEA No,พิกัด (kVA),เฟส,เขต,ประเภทธุรกิจ,กฟฟ.,จังหวัด,เจ้าของ,อายุ (ปี),Serial No.,Health,Risk Score,Impact Index,วันที่ตรวจสภาพล่าสุด,ผลตรวจฉนวน (I),ผลตรวจน้ำมัน (O),ผลตรวจกายภาพ (P),%โหลด Peak,Latitude,Longitude,สถานที่ติดตั้ง,ประเภทพื้นที่,รูปแบบการติดตั้ง,มีข้อมูล GIS,GIS Tag,มีข้อมูล SAP-ADS,เลขอุปกรณ์,สถานะระบบ (SAP),เลขสินทรัพย์,รหัสพัสดุ,รายละเอียดพัสดุ,ระดับแรงดัน (kV),ชื่อผลิตภัณฑ์,สถานะการรับประกัน,วันเริ่มรับประกัน (ค่าดิบ),วันสิ้นสุดรับประกัน (ค่าดิบ),ฟีดเดอร์,เดือนที่ Peak,%Load,Ia (A),Ib (A),Ic (A),In (A),Ia Peak (A),Ib Peak (A),Ic Peak (A),%Load a (Peak),%Load b (Peak),%Load c (Peak),%Load Phase (Peak),% Unbalance,% Unbalance (Peak),แรงดันต่ำสุด (V),แรงดันต่ำสุด Peak (V),ความยาวสายไกลสุด (m),Loss (W),Sum kWh,จำนวนมิเตอร์,จำนวน PV มิเตอร์,จำนวน EV มิเตอร์,จำนวนลูกค้า VIP
TR26-009027,50,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,43,3C44314,Medium,19237.43,541,20/1/2024,ผ่าน,ไม่ผ่าน,ไม่ผ่าน,37.7,18.36356897,98.81123418,DCC_xx บ้านปากทางม่วงโตน (วัดแพะโป่ง),ชนบท,,ใช่,1151XF000002764,ใช่,1000480985,INST,460177669,1050010005,"TR., 50 KVA. 3 P 22-0.40 KV.DY 11",22,SIRIVIWAT,,,,BGA04,พฤษภาคม,28.25,28.28,16.77,16.12,11.76,38.51,22.17,20.98,53.13999939,30.59000015,28.95000076,53.13999939,38.69543894,41.47685525,221.26,217.45,800.43,452,8351,41,,,41
TR26-009289,160,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,43,13060340,Low,4844.43,1177,22/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,44.51,18.36832766,98.77003042,DCC_xx บ้านหล่ายแก้วกิจอาคม,เทศบาลตำบล,,ใช่,1151XF000002756,ใช่,1000001325,ESTO,460000461,1050010007,"TR., 160 KVA. 3 P 22-0.40 KV.DY 11",22,THAIMAXWELL,,,,BGA04,พฤษภาคม,28.46,57.55,63,76.77,16.93,96.9,94.51,117.27,41.79000092,40.75999832,50.56999969,50.56999969,16.71903507,13.9723986,221.11,214.66,1071.24,1395,24671,177,,,177
TR27-006510,10,1,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,42,1C26521,Medium,33608.42,508,15/1/2024,ไม่ผ่าน,ผ่าน,ไม่ผ่าน,8.22,18.24554986,98.86429335,DCC_02บ้านแม่ลอบ(สวนเกษตร),ชนบท,แขวนบนเสา,ใช่,11XFAA000048512,ใช่,1000001643,INST,460177684,1050000000,"TR., 10 KVA. 1 P 3 W,22/0.46-0.23 KV.",22,SIRIVIWAT,,,,BGA02,พฤษภาคม,2.51,1.09,0,0,1.09,3.57,0,0,24.62999916,0,0,24.62999916,0,0,229.72,228.83,357.7,46,123,8,,,8
TR27-008196,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,42,14062939,High (H1),52825.42,1095,6/2/2024,ไม่ผ่าน,ไม่ผ่าน,ไม่ผ่าน,25.01,18.41910505,98.77168982,DCC_xx บ้านห้วยปันจ๊อย (หัวบ้านขวามือ),เทศบาลตำบล,นั้งร้าน,ใช่,1151XF000002347,ใช่,1000001739,INST,460177702,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,THAIMAXWELL,,,,CEA04,มิถุนายน,20.28,43.31,25.39,19.14,21.68,50.43,35.63,22.29,34.79999924,24.57999992,15.38000011,34.79999924,47.91666667,39.63082603,228.1,226.98,422.87,285,10161,95,,,95
TR27-008263,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,42,14063006,Low,4931.42,1074,29/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,31.25,18.42842789,98.73512164,DCC_xx บ้านเหล่าแมว ม.1 ต.วังผาง,เทศบาลตำบล,นั้งร้าน,ใช่,1151XF000001899,ใช่,1001394153,INST,460392442,1050010001,"TR., 100 KVA. 3 P 22-0.40/0.20 KV.DY 11",22,THAIMAXWELL,,,,CEA04,พฤษภาคม,27.33,64.89,28.76,24.77,38.1,68.49,38.19,28.71,47.25999832,26.35000038,19.80999947,47.25999832,64.38946124,51.76157766,223.08,223.38,516.93,340,12939,74,,,74
TR27-008264,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,42,14063007,High (H1),48004.42,551,27/1/2024,ไม่ผ่าน,ไม่ผ่าน,ไม่ผ่าน,4.15,18.35498714,98.70843718,DCC_02-บ้านห้วยสะแหลเครื่องสุดท้าย,ชนบท,,ใช่,1151XF000002909,ใช่,1000001463,INST,460177706,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,THAIMAXWELL,,,,BGA04,กันยายน,4.15,8.55,2.47,6.96,5.45,8.55,2.47,6.96,5.900000095,1.700000048,4.800000191,5.900000095,58.78754171,58.78754171,230.14,230.14,799.82,139,2369,51,,,51
TR27-008268,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,42,14063011,Medium,33631.42,552,19/1/2024,ไม่ผ่าน,ผ่าน,ไม่ผ่าน,31.84,18.37446159,98.81054798,DCC_xx บ้านเหล่ายาวเหนือ (ถนนลำพูน-ลี้),ชนบท,,ใช่,1151XF000002762,ใช่,1000480987,INST,460177708,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,THAIMAXWELL,,,,BGA04,พฤษภาคม,13.44,31.89,18.66,7.64,20.97,70.84,43.72,23.4,48.88000107,30.17000008,16.14999962,48.88000107,64.40969239,54.04465062,224.52,216.84,829.84,607,7630,52,,,52
TR27-008471,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,42,14063214,High (H1),56802.42,509,10/1/2024,ไม่ผ่าน,ไม่ผ่าน,ไม่ผ่าน,2.3,18.29055012,98.84816515,DCC_02บ้านห้วยน้ำดิบ ซอย10 (3),ชนบท,,ใช่,1151XF000002798,ใช่,1000001429,INST,460324383,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,THAIMAXWELL,หมดประกัน,,,BGA02,พฤษภาคม,1.27,3.02,0,2.49,2.8,6.34,0,3.6,4.369999886,0,2.480000019,4.369999886,100,100,230.49,230.25,574.99,132,615,9,,,9
TR28-004642,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,41,33233,Low,4854.41,650,3/5/2025,ผ่าน,ผ่าน,ไม่ผ่าน,54.2,18.30938711,98.79962843,DCC_xx บ้านป่าดำ,ชนบท,,ใช่,1151XF000002484,ใช่,1000001395,INST,460177757,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,EKARAT,หมดประกัน,,,BGA04,พฤษภาคม,36.44,81.17,34.67,42.05,43.19,104.94,64.22,65.75,72.41000366,44.31000137,45.36999893,72.41000366,54.22762683,34.01728321,214.69,212.76,511.44,983,19125,150,,,150
TR28-004747,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,41,33954,Medium,19304.41,525,16/1/2024,ผ่าน,ไม่ผ่าน,ไม่ผ่าน,4.76,18.25169243,98.83843054,DCC_02 บ้านทุ่งม่านทานตะวัน (ทางไปป่าพลู1),ชนบท,นั้งร้าน,ใช่,1151XF000002715,ใช่,1000480983,INST,460177764,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,EKARAT,,,,BGA02,พฤษภาคม,2.01,4,2.75,1.97,1.78,5.94,6.65,8.02,4.099999905,4.590000153,5.53000021,5.53000021,37.6146789,16.73944687,230.57,229.31,821.33,137,1029,25,,,25
TR28-005225,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,41,33966,Medium,33652.41,745,15/1/2024,ไม่ผ่าน,ผ่าน,ไม่ผ่าน,52.48,18.25219354,98.82481776,DCC_xx_บ้านห้วยหละ 1,ชนบท,แขวนบนเสา,ใช่,11XFAA000089148,ใช่,1000004099,INST,460586806,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,EKARAT,,,,BGA01,พฤษภาคม,41.31,95.34,55.95,27.74,58.5,123.62,67.13,36.71,85.30000305,46.31999969,25.32999992,85.30000305,59.76093392,63.0440517,221.78,219.74,997,746,21115,245,,,245
TR28-005238,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,41,33979,Low,5010.41,1087,23/1/2024,ผ่าน,ผ่าน,ไม่ผ่าน,10.2,18.39139278,98.7347598,DCC_xx ศรีเตี้ย(เข้าป่าช้า),เทศบาลตำบล,นั้งร้าน,ใช่,1151XF000002898,ใช่,1000827473,INST,460177766,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,EKARAT,,,,BGA04,พฤษภาคม,6.62,7.93,10.31,10.44,2.44,12.67,20.57,10.95,8.739999771,14.18999958,7.559999943,14.18999958,17.05020921,39.64697895,228.41,227.9,965.71,170,6941,87,,,87
TR28-012153,50,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,41,16029060,Medium,24133.41,1049,30/1/2024,ผ่าน,ไม่ผ่าน,ไม่ผ่าน,33.69,18.42993639,98.72538548,DCC_xx บ้านดงเหนือฝั่งขวา,เทศบาลตำบล,นั้งร้าน,ใช่,1151XF000001869,ใช่,1000001717,INST,460177786,1050010005,"TR., 50 KVA. 3 P 22-0.40 KV.DY 11",22,THAIMAXWELL,หมดประกัน,,,CEA04,มิถุนายน,29.97,39.28,15.05,10.58,26.7,43.85,18.87,10.26,60.50999832,26.04000092,14.15999985,60.50999832,81.54367586,80.25486435,225.93,225.77,480.21,221,7749,49,,,49
TR28-012429,100,3,N1,A025,กฟส.บ้านโฮ่ง,ลำพูน,กฟภ.,41,36339,High (H1),50514.41,1021,22/1/2024,ไม่ผ่าน,ไม่ผ่าน,ไม่ผ่าน,14.26,18.38906086,98.77967595,DCC_xx บ้านหล่ายแก้วขวามือก่อนโกดังเจ๊ปิ่น,เทศบาลตำบล,,ใช่,1151XF000002844,ใช่,1000001319,INST,460177792,1050010006,"TR., 100 KVA. 3 P 22-0.40 KV.DY 11",22,EKARAT,หมดประกัน,,,BGA04,พฤษภาคม,6.72,8.13,13.47,7.49,5.68,18.53,25.94,17.29,12.78999996,17.89999962,11.93000031,17.89999962,38.91371605,26.00388601,228.97,227.36,555.08,249,4366,21,,,21
